#cluster_id	cluster_type	1to1_type	proteome_count	percentage_at_target_count
OG0000038	shared	true	23	0.87
OG0000080	shared	true	23	0.87
OG0000135	shared	true	23	0.87
OG0000254	shared	true	23	0.91
OG0000339	shared	true	23	0.87
OG0000349	shared	true	23	0.96
OG0000381	shared	true	23	0.87
OG0000385	shared	true	23	0.87
OG0000395	shared	true	23	0.87
OG0000397	shared	true	23	0.87
OG0000402	shared	true	23	0.87
OG0000416	shared	true	23	0.96
OG0000422	shared	true	23	0.91
OG0000443	shared	true	23	0.96
OG0000482	shared	true	23	0.91
OG0000527	shared	true	23	0.96
OG0000536	shared	true	23	0.96
OG0000547	shared	true	23	0.96
OG0000589	shared	true	23	0.96
OG0000590	shared	true	23	0.96
OG0000600	shared	true	23	0.96
OG0000642	shared	true	23	0.96
OG0000660	shared	true	22	0.95
OG0000661	shared	true	23	0.96
OG0000662	shared	true	23	0.96
OG0000672	shared	true	23	0.96
OG0000675	shared	true	23	0.96
OG0000687	shared	true	23	0.96
OG0000688	shared	true	23	0.96
OG0000692	shared	true	23	0.96
OG0000701	shared	true	23	0.96
OG0000744	shared	true	23	0.96
OG0000756	shared	true	23	0.96
OG0000763	shared	true	23	0.96
OG0000773	shared	true	23	0.96
OG0000802	shared	true	23	0.96
OG0000817	shared	true	23	0.96
OG0000838	shared	true	23	0.96
OG0000846	shared	true	23	0.96
OG0000850	shared	true	23	0.96
OG0000858	shared	true	23	0.96
OG0000860	shared	true	23	0.96
OG0000865	shared	true	23	0.96
OG0000867	shared	true	23	0.96
OG0000870	shared	true	23	0.96
OG0000894	shared	true	23	1.00
OG0000895	shared	true	23	1.00
OG0000896	shared	true	23	1.00
OG0000897	shared	true	23	1.00
OG0000898	shared	true	23	1.00
OG0000899	shared	true	23	1.00
OG0000900	shared	true	23	1.00
OG0000901	shared	true	23	1.00
OG0000902	shared	true	23	1.00
OG0000903	shared	true	23	1.00
OG0000904	shared	true	23	1.00
OG0000905	shared	true	23	1.00
OG0000906	shared	true	23	1.00
OG0000907	shared	true	23	1.00
OG0000908	shared	true	23	1.00
OG0000909	shared	true	23	1.00
OG0000910	shared	true	23	1.00
OG0000911	shared	true	23	1.00
OG0000912	shared	true	23	1.00
OG0000913	shared	true	23	1.00
OG0000914	shared	true	23	1.00
OG0000915	shared	true	23	1.00
OG0000916	shared	true	23	1.00
OG0000917	shared	true	23	1.00
OG0000918	shared	true	23	1.00
OG0000919	shared	true	23	1.00
OG0000920	shared	true	23	1.00
OG0000921	shared	true	23	1.00
OG0000922	shared	true	23	1.00
OG0000923	shared	true	23	1.00
OG0000924	shared	true	23	1.00
OG0000925	shared	true	23	1.00
OG0000926	shared	true	23	1.00
OG0000927	shared	true	23	1.00
OG0000928	shared	true	23	1.00
OG0000929	shared	true	23	1.00
OG0000930	shared	true	23	1.00
OG0000931	shared	true	23	1.00
OG0000932	shared	true	23	1.00
OG0000933	shared	true	23	1.00
OG0000934	shared	true	23	1.00
OG0000935	shared	true	23	1.00
OG0000936	shared	true	23	1.00
OG0000937	shared	true	23	1.00
OG0000938	shared	true	23	1.00
OG0000939	shared	true	23	1.00
OG0000940	shared	true	23	1.00
OG0000941	shared	true	23	1.00
OG0000942	shared	true	23	1.00
OG0000943	shared	true	23	1.00
OG0000944	shared	true	23	1.00
OG0000945	shared	true	23	1.00
OG0000946	shared	true	23	1.00
OG0000947	shared	true	23	1.00
OG0000948	shared	true	23	1.00
OG0000949	shared	true	23	1.00
OG0000950	shared	true	23	1.00
OG0000951	shared	true	23	1.00
OG0000952	shared	true	23	1.00
OG0000953	shared	true	23	1.00
OG0000954	shared	true	23	1.00
OG0000955	shared	true	23	1.00
OG0000956	shared	true	23	1.00
OG0000957	shared	true	23	1.00
OG0000958	shared	true	23	1.00
OG0000959	shared	true	23	1.00
OG0000960	shared	true	23	1.00
OG0000961	shared	true	23	1.00
OG0000962	shared	true	23	1.00
OG0000963	shared	true	23	1.00
OG0000964	shared	true	23	1.00
OG0000965	shared	true	23	1.00
OG0000966	shared	true	23	1.00
OG0000967	shared	true	23	1.00
OG0000968	shared	true	23	1.00
OG0000969	shared	true	23	1.00
OG0000970	shared	true	23	1.00
OG0000971	shared	true	23	1.00
OG0000972	shared	true	23	1.00
OG0000973	shared	true	23	1.00
OG0000974	shared	true	23	1.00
OG0000975	shared	true	23	1.00
OG0000976	shared	true	23	1.00
OG0000977	shared	true	23	1.00
OG0000978	shared	true	23	1.00
OG0000979	shared	true	23	1.00
OG0000980	shared	true	23	1.00
OG0000981	shared	true	23	1.00
OG0000982	shared	true	23	1.00
OG0000983	shared	true	23	1.00
OG0000984	shared	true	23	1.00
OG0000985	shared	true	23	1.00
OG0000986	shared	true	23	1.00
OG0000987	shared	true	23	1.00
OG0000988	shared	true	23	1.00
OG0000989	shared	true	23	1.00
OG0000990	shared	true	23	1.00
OG0000991	shared	true	23	1.00
OG0000992	shared	true	23	1.00
OG0000993	shared	true	23	1.00
OG0000994	shared	true	23	1.00
OG0000995	shared	true	23	1.00
OG0000996	shared	true	23	1.00
OG0000997	shared	true	23	1.00
OG0000998	shared	true	23	1.00
OG0000999	shared	true	23	1.00
OG0001000	shared	true	23	1.00
OG0001001	shared	true	23	1.00
OG0001002	shared	true	23	1.00
OG0001003	shared	true	23	1.00
OG0001004	shared	true	23	1.00
OG0001005	shared	true	23	1.00
OG0001006	shared	true	23	1.00
OG0001007	shared	true	23	1.00
OG0001008	shared	true	23	1.00
OG0001009	shared	true	23	1.00
OG0001010	shared	true	23	1.00
OG0001011	shared	true	23	1.00
OG0001012	shared	true	23	1.00
OG0001013	shared	true	23	1.00
OG0001014	shared	true	23	1.00
OG0001015	shared	true	23	1.00
OG0001016	shared	true	23	1.00
OG0001017	shared	true	23	1.00
OG0001018	shared	true	23	1.00
OG0001019	shared	true	23	1.00
OG0001020	shared	true	23	1.00
OG0001021	shared	true	23	1.00
OG0001022	shared	true	23	1.00
OG0001023	shared	true	23	1.00
OG0001024	shared	true	23	1.00
OG0001025	shared	true	23	1.00
OG0001026	shared	true	23	1.00
OG0001027	shared	true	23	1.00
OG0001028	shared	true	23	1.00
OG0001029	shared	true	23	1.00
OG0001030	shared	true	23	1.00
OG0001031	shared	true	23	1.00
OG0001032	shared	true	23	1.00
OG0001033	shared	true	23	1.00
OG0001034	shared	true	23	1.00
OG0001035	shared	true	23	1.00
OG0001036	shared	true	23	1.00
OG0001037	shared	true	23	1.00
OG0001038	shared	true	23	1.00
OG0001039	shared	true	23	1.00
OG0001040	shared	true	23	1.00
OG0001041	shared	true	23	1.00
OG0001042	shared	true	23	1.00
OG0001043	shared	true	23	1.00
OG0001044	shared	true	23	1.00
OG0001045	shared	true	23	1.00
OG0001046	shared	true	23	1.00
OG0001047	shared	true	23	1.00
OG0001048	shared	true	23	1.00
OG0001049	shared	true	23	1.00
OG0001050	shared	true	23	1.00
OG0001051	shared	true	23	1.00
OG0001052	shared	true	23	1.00
OG0001053	shared	true	23	1.00
OG0001054	shared	true	23	1.00
OG0001055	shared	true	23	1.00
OG0001056	shared	true	23	1.00
OG0001057	shared	true	23	1.00
OG0001058	shared	true	23	1.00
OG0001059	shared	true	23	1.00
OG0001060	shared	true	23	1.00
OG0001061	shared	true	23	1.00
OG0001062	shared	true	23	1.00
OG0001063	shared	true	23	1.00
OG0001064	shared	true	23	1.00
OG0001065	shared	true	23	1.00
OG0001066	shared	true	23	1.00
OG0001067	shared	true	23	1.00
OG0001068	shared	true	23	1.00
OG0001069	shared	true	23	1.00
OG0001070	shared	true	23	1.00
OG0001071	shared	true	23	1.00
OG0001072	shared	true	23	1.00
OG0001073	shared	true	23	1.00
OG0001074	shared	true	23	1.00
OG0001075	shared	true	23	1.00
OG0001076	shared	true	23	1.00
OG0001077	shared	true	23	1.00
OG0001078	shared	true	23	1.00
OG0001079	shared	true	23	1.00
OG0001080	shared	true	23	1.00
OG0001081	shared	true	23	1.00
OG0001082	shared	true	23	1.00
OG0001083	shared	true	23	1.00
OG0001084	shared	true	23	1.00
OG0001085	shared	true	23	1.00
OG0001086	shared	true	23	1.00
OG0001087	shared	true	23	1.00
OG0001088	shared	true	23	1.00
OG0001089	shared	true	23	1.00
OG0001090	shared	true	23	1.00
OG0001091	shared	true	23	1.00
OG0001092	shared	true	23	1.00
OG0001093	shared	true	23	1.00
OG0001094	shared	true	23	1.00
OG0001095	shared	true	23	1.00
OG0001096	shared	true	23	1.00
OG0001097	shared	true	23	1.00
OG0001098	shared	true	23	1.00
OG0001099	shared	true	23	1.00
OG0001100	shared	true	23	1.00
OG0001101	shared	true	23	1.00
OG0001102	shared	true	23	1.00
OG0001103	shared	true	23	1.00
OG0001104	shared	true	23	1.00
OG0001105	shared	true	23	1.00
OG0001106	shared	true	23	1.00
OG0001107	shared	true	23	1.00
OG0001108	shared	true	23	1.00
OG0001109	shared	true	23	1.00
OG0001110	shared	true	23	1.00
OG0001111	shared	true	23	1.00
OG0001112	shared	true	23	1.00
OG0001113	shared	true	23	1.00
OG0001114	shared	true	23	1.00
OG0001115	shared	true	23	1.00
OG0001116	shared	true	23	1.00
OG0001117	shared	true	23	1.00
OG0001118	shared	true	23	1.00
OG0001119	shared	true	23	1.00
OG0001120	shared	true	23	1.00
OG0001121	shared	true	23	1.00
OG0001122	shared	true	23	1.00
OG0001123	shared	true	23	1.00
OG0001124	shared	true	23	1.00
OG0001125	shared	true	23	1.00
OG0001126	shared	true	23	1.00
OG0001127	shared	true	23	1.00
OG0001128	shared	true	23	1.00
OG0001129	shared	true	23	1.00
OG0001130	shared	true	23	1.00
OG0001131	shared	true	23	1.00
OG0001132	shared	true	23	1.00
OG0001133	shared	true	23	1.00
OG0001134	shared	true	23	1.00
OG0001135	shared	true	23	1.00
OG0001136	shared	true	23	1.00
OG0001137	shared	true	23	1.00
OG0001138	shared	true	23	1.00
OG0001139	shared	true	23	1.00
OG0001140	shared	true	23	1.00
OG0001141	shared	true	23	1.00
OG0001142	shared	true	23	1.00
OG0001143	shared	true	23	1.00
OG0001144	shared	true	23	1.00
OG0001145	shared	true	23	1.00
OG0001146	shared	true	23	1.00
OG0001147	shared	true	23	1.00
OG0001148	shared	true	23	1.00
OG0001149	shared	true	23	1.00
OG0001150	shared	true	23	1.00
OG0001151	shared	true	23	1.00
OG0001152	shared	true	23	1.00
OG0001153	shared	true	23	1.00
OG0001154	shared	true	23	1.00
OG0001155	shared	true	23	1.00
OG0001156	shared	true	23	1.00
OG0001157	shared	true	23	1.00
OG0001158	shared	true	23	1.00
OG0001159	shared	true	23	1.00
OG0001160	shared	true	23	1.00
OG0001161	shared	true	23	1.00
OG0001162	shared	true	23	1.00
OG0001163	shared	true	23	1.00
OG0001164	shared	true	23	1.00
OG0001165	shared	true	23	1.00
OG0001166	shared	true	23	1.00
OG0001167	shared	true	23	1.00
OG0001168	shared	true	23	1.00
OG0001169	shared	true	23	1.00
OG0001170	shared	true	23	1.00
OG0001171	shared	true	23	1.00
OG0001172	shared	true	23	1.00
OG0001173	shared	true	23	1.00
OG0001174	shared	true	23	1.00
OG0001175	shared	true	23	1.00
OG0001176	shared	true	23	1.00
OG0001177	shared	true	23	1.00
OG0001178	shared	true	23	1.00
OG0001179	shared	true	23	1.00
OG0001180	shared	true	23	1.00
OG0001181	shared	true	23	1.00
OG0001182	shared	true	23	1.00
OG0001183	shared	true	23	1.00
OG0001184	shared	true	23	1.00
OG0001185	shared	true	23	1.00
OG0001186	shared	true	23	1.00
OG0001187	shared	true	23	1.00
OG0001188	shared	true	23	1.00
OG0001189	shared	true	23	1.00
OG0001190	shared	true	23	1.00
OG0001191	shared	true	23	1.00
OG0001192	shared	true	23	1.00
OG0001193	shared	true	23	1.00
OG0001194	shared	true	23	1.00
OG0001195	shared	true	23	1.00
OG0001196	shared	true	23	1.00
OG0001197	shared	true	23	1.00
OG0001198	shared	true	23	1.00
OG0001199	shared	true	23	1.00
OG0001200	shared	true	23	1.00
OG0001201	shared	true	23	1.00
OG0001202	shared	true	23	1.00
OG0001203	shared	true	23	1.00
OG0001204	shared	true	23	1.00
OG0001205	shared	true	23	1.00
OG0001206	shared	true	23	1.00
OG0001207	shared	true	23	1.00
OG0001208	shared	true	23	1.00
OG0001209	shared	true	23	1.00
OG0001210	shared	true	23	1.00
OG0001211	shared	true	23	1.00
OG0001212	shared	true	23	1.00
OG0001213	shared	true	23	1.00
OG0001214	shared	true	23	1.00
OG0001215	shared	true	23	1.00
OG0001216	shared	true	23	1.00
OG0001217	shared	true	23	1.00
OG0001218	shared	true	23	1.00
OG0001219	shared	true	23	1.00
OG0001220	shared	true	23	1.00
OG0001221	shared	true	23	1.00
OG0001222	shared	true	23	1.00
OG0001223	shared	true	23	1.00
OG0001224	shared	true	23	1.00
